n_splits,max_depth,min_samples_leaf,min_samples_split,n_estimators,random_state,mean_test_score
3,3,3,4,50,123,0.8358533095838058
3,3,3,4,100,7,0.83629726377502
3,3,3,4,100,21,0.839057431544466
3,3,3,4,100,42,0.8219991865178535
3,3,3,4,100,123,0.8331943894260622
3,3,3,4,150,7,0.8368529033657107
3,3,3,4,150,21,0.8393883740229113
3,3,3,4,150,42,0.8233753437302543
3,3,3,4,150,123,0.8260650675824165
3,3,3,6,50,7,0.8356327638844281
3,3,3,6,50,21,0.8326395409891362
3,3,3,6,50,42,0.8170309876693694
3,3,3,6,50,123,0.8358533095838058
3,3,3,6,100,7,0.83629726377502
3,3,3,6,100,21,0.839057431544466
3,3,3,6,100,42,0.8219991865178535
3,3,3,6,100,123,0.8331943894260622
3,3,3,6,150,7,0.8368529033657107
3,3,3,6,150,21,0.8393883740229113
3,3,3,6,150,42,0.8233753437302543
3,3,3,6,150,123,0.8260650675824165
3,5,1,2,50,7,0.8718967980282787
3,5,1,2,50,21,0.8733588412793173
3,5,1,2,50,42,0.8509166508926042
3,5,1,2,50,123,0.87319589546163
3,5,1,2,100,7,0.8721435586540931
3,5,1,2,100,21,0.8783468707115216
3,5,1,2,100,42,0.857922554465857
3,5,1,2,100,123,0.8705306297011454
3,5,1,2,150,7,0.871659199250432
3,5,1,2,150,21,0.8799487297800462
3,5,1,2,150,42,0.8606938482729839
3,5,1,2,150,123,0.8639229723216557
3,5,1,4,50,7,0.8696521838576
3,5,1,4,50,21,0.867556829447479
3,5,1,4,50,42,0.847591040048948
3,5,1,4,50,123,0.8692125442680028
3,5,1,4,100,7,0.8699729996921531
3,5,1,4,100,21,0.873188571240313
3,5,1,4,100,42,0.8567258974066313
3,5,1,4,100,123,0.8684196960727976
3,5,1,4,150,7,0.8700509315137919
3,5,1,4,150,21,0.8760721183531093
3,5,1,4,150,42,0.8591459036766688
3,5,1,4,150,123,0.8621849951832724
3,5,1,6,50,7,0.8675133809663391
3,5,1,6,50,21,0.8656833241906514
